        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2016-01-09 15:10:13 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:13 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:14 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:15 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:16 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:17 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:18 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:19 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:20 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:21 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:22 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:23 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:24 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:25 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:26 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:27 ,              135.0   ,                405.0   ,               40.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
2016-01-09 15:10:28 ,              135.0   ,                405.0   ,               41.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           0   ,                         0   ,              16   , 0.7810   ,
